,Url,Autovit Id,Pret (EUR),Oferit de,Categorie,Marca,Model,Anul,Km,Combustibil,Putere (CP),Capacitate cilindrica (cm3),Cutie de viteze,Tip Caroserie,Numar de portiere,Culoare,Fara accident in istoric,Carte de service,Tractiune,Filtru de particule,Inmatriculat,Primul proprietar,Consum (l/100km)
0,https://www.autovit.ro/anunt/suzuki-vitara-1-6-ID7H72va.html,7049990250,16999.0,Proprietar,Autoturisme,Suzuki,Vitara,2018,26000,Benzina,120.0,1586.0,Automata,SUV,5,Negru,Da,Da,Nu e mentionat,Nu,Nu,Nu,5.8
1,https://www.autovit.ro/anunt/toyota-auris-1-8-vvt-i-hybrid-automatik-touring-sports-ID7H6UP3.html,7049960669,12500.0,Proprietar,Autoturisme,Toyota,Auris,2015,239465,Hibrid,99.0,1798.0,Automata,Combi,5,Gri,Da,Da,Nu e mentionat,Nu,Nu,Nu,3.5
2,https://www.autovit.ro/anunt/skoda-octavia-1-6-tdi-ID7H6DXS.html,7049895868,14994.0,Firma,Autoturisme,Skoda,Octavia,2020,100000,Diesel,115.0,1598.0,Manuala,Sedan,5,Albastru,Da,Da,Fata,Da,Da,Da,4.7
3,https://www.autovit.ro/anunt/ford-focus-1-6-tdci-dpf-ID7H72st.html,7049990021,5000.0,Proprietar,Autoturisme,Ford,Focus,2012,245000,Diesel,115.0,1560.0,Manuala,Combi,5,Alb,Da,Da,Fata,Da,Da,Nu,5.1
4,https://www.autovit.ro/anunt/opel-insignia-ID7H72wU.html,7049990234,17800.0,Proprietar,Autoturisme,Opel,Insignia,2017,65000,Diesel,136.0,1598.0,Manuala,Sedan,4,Alb,Da,Nu,Fata,Nu,Da,Nu,4.7
5,https://www.autovit.ro/anunt/mercedes-benz-gle-400-d-4matic-ID7GY1rF.html,7047841175,87900.0,Firma,Autoturisme,Mercedes-Benz,GLE,2020,46900,Diesel,330.0,2925.0,Automata,SUV,5,Negru,Da,Da,4x4,Nu,Nu,Da,8.4
6,https://www.autovit.ro/anunt/skoda-superb-2-0-tdi-dsg-ID7H6ool.html,7049836005,19950.0,Firma,Autoturisme,Skoda,Superb,2017,122453,Diesel,190.0,1968.0,Automata,Sedan,5,Negru,Nu,Da,Fata,Nu,Da,Nu,5.3
7,https://www.autovit.ro/anunt/volkswagen-polo-ID7H3RGS.html,7049233646,1990.0,Firma,Autoturisme,Volkswagen,Polo,2004,220000,Diesel,75.0,1422.0,Manuala,Masina de oras,5,Negru,Nu,Nu,Nu e mentionat,Nu,Nu,Nu,8.9
8,https://www.autovit.ro/anunt/audi-a3-sportback-2-0-tdi-ID7H3RGo.html,7049233616,3490.0,Firma,Autoturisme,Audi,A3,2005,265000,Diesel,140.0,1968.0,Manuala,Compacta,5,Gri,Nu,Nu,Nu e mentionat,Nu,Nu,Nu,7.2
9,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZwA5.html,7048195345,115979.0,Firma,Autoturisme,Mercedes-Benz,GLE,2020,18062,Benzina,435.0,2999.0,Automata,SUV,5,Negru,Da,Da,4x4,Nu,Nu,Da,6.853900792716427
10,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZwAz.html,7048195375,166899.0,Firma,Autoturisme,Mercedes-Benz,GLE,2021,39904,Benzina,612.0,3982.0,Automata,SUV,5,Argint,Da,Da,4x4,Nu,Nu,Da,6.853900792716427
11,https://www.autovit.ro/anunt/mercedes-benz-gle-coupe-400-d-4matic-ID7GY1n5.html,7047840891,86990.0,Firma,Autoturisme,Mercedes-Benz,GLE Coupe,2020,38980,Diesel,330.0,2925.0,Automata,Coupe,5,Gri,Da,Da,4x4,Da,Nu,Da,8.5
12,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZwAY.html,7048195400,104869.0,Firma,Autoturisme,Mercedes-Benz,GLE,2021,11500,Diesel,330.0,2925.0,Automata,SUV,5,Albastru,Da,Da,4x4,Nu,Nu,Da,6.853900792716427
