,Url,Autovit Id,Pret,Oferit de,Categorie,Marca,Model,Versiune,Anul,Km,Combustibil,Putere,Capacitate cilindrica,Norma de poluare,Consum Mixt,Cutie de viteze,Consum Urban,Tip Caroserie,Numar de portiere,Culoare,Garantie de la producator pana la,Tara de origine,Data primei inmatriculari,Fara accident in istoric,Carte de service,Stare,Are VIN (Serie sasiu),Numar locuri,Generatie,Transmisie,Filtru de particule,Emisii CO2,Optiuni culoare,Se emite factura,Eligibil pentru finantare,Garantie dealer (inclusa in pret),Inmatriculat,Primul proprietar (de nou),Consum Extraurban,sau in limita a,Autonomie,Consum mediu,Capacitate baterie,Tuning,Predare leasing,Plata initiala (la predare),Valoare rata lunara,Numar de rate lunare ramase,Valoare reziduala,Contract baterie,Volan pe dreapta,Masina de epoca
0,https://www.autovit.ro/anunt/suzuki-vitara-1-6-ID7H72va.html,7049990250,16 999 EUR,Proprietar,Autoturisme,Suzuki,Vitara,1.6,2018,26 000 km,Benzina,120 CP,1 586 cm3,Euro 6,5 l/100km,Automata,"6,60 l/100km",SUV,5.0,Negru,01/04/2024,Romania,01/07/2018,Da,Da,Second hand,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.autovit.ro/anunt/toyota-auris-1-8-vvt-i-hybrid-automatik-touring-sports-ID7H6UP3.html,7049960669,12 500 EUR,Proprietar,Autoturisme,Toyota,Auris,1.8 VVT-i Hybrid Automatik Touring Sports,2015,239 465 km,Hibrid,99 CP,1 798 cm3,Euro 5,,Automata,"3,50 l/100km",Combi,5.0,Gri,,Italia,05/01/2015,Da,Da,Second hand,Da,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.autovit.ro/anunt/skoda-octavia-1-6-tdi-ID7H6DXS.html,7049895868,14 994 EUR,Firma,Autoturisme,Skoda,Octavia,1.6 TDI,2020,100 000 km,Diesel,115 CP,1 598 cm3,Euro 6,,Manuala,"4,70 l/100km",Sedan,5.0,Albastru,,Romania,27/11/2019,Da,Da,Second hand,Da,5.0,III [2013 - 2019],Fata,Da,108 g/km,Metalizata,Da,Da,6 luni,Da,Da,,,,,,,,,,,,,,
3,https://www.autovit.ro/anunt/ford-focus-1-6-tdci-dpf-ID7H72st.html,7049990021,5 000 EUR,Proprietar,Autoturisme,Ford,Focus,1.6 TDCi DPF,2012,245 000 km,Diesel,115 CP,1 560 cm3,Euro 5,,Manuala,"5,10 l/100km",Combi,5.0,Alb,,,26/03/2012,Da,Da,Second hand,Da,5.0,MK3 [2010 - 2018],Fata,Da,,Mat,,,,Da,,,,,,,,,,,,,,,
4,https://www.autovit.ro/anunt/opel-insignia-ID7H72wU.html,7049990234,17 800 EUR,Proprietar,Autoturisme,Opel,Insignia,,2017,65 000 km,Diesel,136 CP,1 598 cm3,Euro 6,,Manuala,"4,70 l/100km",Sedan,4.0,Alb,,Germania,08/11/2017,Da,,Second hand,Da,5.0,A [2008 - 2018],Fata,,118 g/km,,,,,Da,,,,,,,,,,,,,,,
5,https://www.autovit.ro/anunt/mercedes-benz-gle-400-d-4matic-ID7GY1rF.html,7047841175,87 900 EUR,Firma,Autoturisme,Mercedes-Benz,GLE,400 d 4MATIC,2020,46 900 km,Diesel,330 CP,2 925 cm3,Euro 6,,Automata,"8,40 l/100km",SUV,5.0,Negru,,Germania,01/05/2020,Da,Da,Second hand,,,,4x4 (automat),,,Metalizata,Da,Da,,,Da,,,,,,,,,,,,,,
6,https://www.autovit.ro/anunt/skoda-superb-2-0-tdi-dsg-ID7H6ool.html,7049836005,19 950 EUR,Firma,Autoturisme,Skoda,Superb,2.0 TDI DSG,2017,122 453 km,Diesel,190 CP,1 968 cm3,Euro 6,,Automata,"5,30 l/100km",Sedan,5.0,Negru,,Romania,05/09/2017,,Da,Second hand,Da,,,Fata,,,,Da,Da,12 luni,Da,,,,,,,,,,,,,,,
7,https://www.autovit.ro/anunt/volkswagen-polo-ID7H3RGS.html,7049233646,1 990 EUR,Firma,Autoturisme,Volkswagen,Polo,,2004,220 000 km,Diesel,75 CP,1 422 cm3,,,Manuala,"8,90 l/100km",Masina de oras,5.0,Negru,,,,,,Second hand,,,,,,,Metalizata,Da,Da,,,,,,,,,,,,,,,,,
8,https://www.autovit.ro/anunt/audi-a3-sportback-2-0-tdi-ID7H3RGo.html,7049233616,3 490 EUR,Firma,Autoturisme,Audi,A3,Sportback 2.0 TDI,2005,265 000 km,Diesel,140 CP,1 968 cm3,,,Manuala,"7,20 l/100km",Compacta,5.0,Gri,,Germania,,,,Second hand,,,,,,,Metalizata,Da,Da,,,,,,,,,,,,,,,,,
9,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZwA5.html,7048195345,115 979 EUR,Firma,Autoturisme,Mercedes-Benz,GLE,,2020,18 062 km,Benzina,435 CP,2 999 cm3,Euro 6,,Automata,,SUV,5.0,Negru,,,01/12/2020,Da,Da,Second hand,,,,4x4 (automat),,,,,Da,,,Da,,,,,,,,,,,,,,
10,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZwAz.html,7048195375,166 899 EUR,Firma,Autoturisme,Mercedes-Benz,GLE,,2021,39 904 km,Benzina,612 CP,3 982 cm3,Euro 6,,Automata,,SUV,5.0,Argint,,,01/01/2021,Da,Da,Second hand,,,,4x4 (automat),,,,,Da,,,Da,,,,,,,,,,,,,,
11,https://www.autovit.ro/anunt/mercedes-benz-gle-coupe-400-d-4matic-ID7GY1n5.html,7047840891,86 990 EUR,Firma,Autoturisme,Mercedes-Benz,GLE Coupe,400 d 4MATIC,2020,38 980 km,Diesel,330 CP,2 925 cm3,Euro 6,,Automata,"8,50 l/100km",Coupe,5.0,Gri,,Germania,01/10/2020,Da,Da,Second hand,,,,4x4 (automat),Da,,Metalizata,Da,Da,,,Da,,,,,,,,,,,,,,
12,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZwAY.html,7048195400,104 869 EUR,Firma,Autoturisme,Mercedes-Benz,GLE,,2021,11 500 km,Diesel,330 CP,2 925 cm3,Euro 6,,Automata,,SUV,5.0,Albastru,,,01/10/2021,Da,Da,Second hand,,,,4x4 (automat),,,,,Da,,,Da,,,,,,,,,,,,,,
13,https://www.autovit.ro/anunt/porsche-taycan-ID7GOujK.html,7045568880,109 500 EUR,Firma,Autoturisme,Porsche,Taycan,,2021,9 900 km,Electric,490 CP,,Euro 6,,Automata,,Sedan,4.0,Argint,,,01/04/2021,Da,Da,Second hand,,,,4x4 (automat),,,,,Da,,,Da,,,,,,,,,,,,,,
14,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7GZv2X.html,7048197135,102 589 EUR,Firma,Autoturisme,Mercedes-Benz,GLE,,2022,8 300 km,Diesel,272 CP,2 925 cm3,Euro 6,,Automata,,SUV,5.0,Negru,,,01/01/2022,Da,Da,Second hand,,,,4x4 (automat),,,,,Da,,,Da,,,,,,,,,,,,,,
