,Pret,Oferit de,Categorie,Are VIN (Serie sasiu),Marca,Model,Versiune,Anul,Km,Combustibil,Putere,Capacitate cilindrica,Norma de poluare,Cutie de viteze,Consum Urban,Tip Caroserie,Numar de portiere,Culoare,Numar locuri,Tara de origine,Data primei inmatriculari,Fara accident in istoric,Carte de service,Stare,Transmisie,Optiuni culoare,Se emite factura,Eligibil pentru finantare,Primul proprietar (de nou),Predare leasing,Generatie,Filtru de particule,Emisii CO2,Garantie de la producator pana la,sau in limita a,Inmatriculat,Garantie dealer (inclusa in pret),Consum Mixt,Consum Extraurban,Tuning,Autonomie,Consum mediu,Capacitate baterie,Contract baterie,Plata initiala (la predare),Valoare rata lunara,Numar de rate lunare ramase,Valoare reziduala,Masina de epoca,Volan pe dreapta
0,12 999,Proprietar,Autoturisme,Da,Toyota,Auris,1.8 VVT-i Hybrid Automatik Touring Sports,2015,239 465 km,Hibrid,99 CP,1 798 cm3,Euro 5,Automata,"3,50 l/100km",Combi,5,Gri,5,Italia,05.01.2015,Da,Da,Second hand,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23 899,Firma,Autoturisme,,Mazda,CX-5,,2019,110 699 km,Diesel,184 CP,2 191 cm3,Euro 6,Automata,,SUV,4,Gri,,Germania,01.06.2019,Da,Da,Second hand,4x4 (automat),Metalizata,Da,Da,Da,,,,,,,,,,,,,,,,,,,,,
2,24 490,Firma,Autoturisme,,Mazda,CX-5,,2018,48 940 km,Benzina,161 CP,1 998 cm3,Euro 6,Automata,,SUV,4,Rosu,,Germania,01.02.2018,Da,Da,Second hand,4x4 (automat),Metalizata,Da,Da,Da,,,,,,,,,,,,,,,,,,,,,
3,24 990,Firma,Autoturisme,,Mazda,CX-5,,2019,126 600 km,Diesel,184 CP,2 191 cm3,Euro 6,Automata,,SUV,4,Gri,,Germania,01.06.2019,Da,Da,Second hand,4x4 (automat),Metalizata,Da,Da,Da,,,,,,,,,,,,,,,,,,,,,
4,17 990,Firma,Autoturisme,,Seat,Ibiza,1.0 TSI,2022,1 605 km,Benzina,95 CP,999 cm3,,Manuala,"5,40 l/100km",Masina de oras,5,Alb,,,29.04.2022,,Da,Second hand,Fata,,Da,Da,,Da,,,,,,,,,,,,,,,,,,,,
5,5 350,Firma,Autoturisme,,Volkswagen,Polo,1.6 TDI,2011,190 000 km,Diesel,105 CP,1 598 cm3,Euro 5,Manuala,"5,10 l/100km",Sedan,5,Alb,,Germania,,Da,Da,Second hand,,Metalizata,,,Da,,V [2009 - 2017],Da,,,,,,,,,,,,,,,,,,
6,28 490,Proprietar,Autoturisme,Da,Kia,Sportage,1.6 DSL MHEV 7DCT HP 4x4,2021,15 000 km,Diesel,136 CP,1 598 cm3,Euro 6,Automata,,SUV,5,Albastru,5,,09.03.2022,,,Second hand,4x4 (automat),,,,Da,,IV [2016 - 2021],,133 g/km,10.10.2028,150 000 km,,,,,,,,,,,,,,,
7,10 950,Firma,Autoturisme,,BMW,X1,,2015,200 000 km,Diesel,163 CP,1 995 cm3,Euro 5,Automata,,SUV,5,Argint,,Germania,,Da,Da,Second hand,,Metalizata,,,Da,,F48 [2015 - Prezent],Da,,,,,,,,,,,,,,,,,,
8,21 490,Firma,Autoturisme,,Volkswagen,Tiguan,2.0 TDI 4Mot DSG,2018,197 512 km,Diesel,150 CP,1 968 cm3,,Automata,"6,80 l/100km",SUV,5,Negru,,,28.11.2017,,,Second hand,4x4 (automat),,Da,Da,,Da,,,,,,,,,,,,,,,,,,,,
9,102 483,Firma,Autoturisme,,Audi,Q7,,2022,4 000 km,Diesel,286 CP,2 967 cm3,Euro 6,Automata,,SUV,5,Negru,,,01.03.2022,Da,Da,Second hand,4x4 (automat),,,Da,Da,,,,,,,,,,,,,,,,,,,,,
10,393 771,Firma,Autoturisme,,Mercedes-Benz,G,,2020,17 500 km,Benzina,585 CP,3 982 cm3,Euro 6,Automata,,SUV,5,Negru,,,,,,Second hand,4x4 (automat),Mat,Da,Da,,,,,,,,,,,,,,,,,,,,,,
11,23 490,Proprietar,Autoturisme,Da,Volkswagen,Tiguan,2.0 TDI 4Motion DSG,2017,172 000 km,Diesel,150 CP,1 968 cm3,,Automata,"6,80 l/100km",SUV,5,Gri,,,,,,Second hand,4x4 (automat),,,,,,II [2016 - Prezent],Da,,,,Da,,,,,,,,,,,,,,
12,9 763,Firma,Autoturisme,Da,Opel,Astra,1.6 CDTI Start/Stop,2018,207 953 km,Diesel,110 CP,1 598 cm3,Euro 6,Manuala,"3,90 l/100km",Sedan,5,Alb,,Franta,15.01.2018,Da,Da,Second hand,Fata,Perlat,,,Da,,,Da,,,,,12 luni,,,,,,,,,,,,,
13,42 900,Firma,Autoturisme,Da,BMW,Seria 7,740d xDrive,2016,73 466 km,Diesel,320 CP,2 993 cm3,Euro 6,Automata,"6,90 l/100km",Sedan,4,Argint,,Germania,10.07.2016,Da,Da,Second hand,4x4 (automat),Metalizata,Da,,,,,Da,,,15 000 km,Da,12 luni,,,,,,,,,,,,,
14,11 186,Firma,Autoturisme,,Skoda,RAPID,,2019,85 500 km,Benzina,95 CP,999 cm3,Euro 6,Manuala,"5,20 l/100km",Sedan,5,Negru,,,,Da,Da,Second hand,Fata,Metalizata,Da,Da,Da,,,,,,,Da,,,,,,,,,,,,,,
15,45 898,Firma,Autoturisme,,Audi,A6,45 TDI quattro tiptronic,2019,57 000 km,Diesel,231 CP,2 967 cm3,Euro 6,Automata,6 l/100km,Sedan,4,Negru,,Germania,19.06.2019,Da,Da,Second hand,4x4 (automat),Metalizata,Da,Da,Da,,C8 [2018 - Prezent],Da,,,,,,,,,,,,,,,,,,
16,35 799,Firma,Autoturisme,Da,Mercedes-Benz,A,,2021,24 500 km,Diesel,150 CP,1 950 cm3,Euro 6,Automata,,Compacta,,Gri,,,14.04.2021,Da,,Second hand,Fata,,Da,,,,,,109 g/km,,,,,4 l/100km,,,,,,,,,,,,
17,67 772,Firma,Autoturisme,Da,Mercedes-Benz,E,220 d Coupe 9G-TRONIC,2020,23 000 km,Diesel,194 CP,1 950 cm3,Euro 6,Automata,"4,50 l/100km",Coupe,2,Albastru,,,25.01.2021,Da,,Second hand,,Metalizata,Da,Da,,,,Da,132 g/km,,,Da,,,,,,,,,,,,,,
18,20 950,Firma,Autoturisme,Da,BMW,Seria 6,640d Gran Coupe,2012,136 000 km,Diesel,313 CP,2 993 cm3,,Automata,"6,40 l/100km",Sedan,4,Maro,,,17.10.2012,,Da,Second hand,Spate,,,,,,F13/F12/F06 [2011 - 2018],Da,,,,Da,,,,,,,,,,,,,,
19,4 690,Firma,Autoturisme,Da,Skoda,Fabia,,2011,236 000 km,Diesel,75 CP,1 199 cm3,Euro 5,Manuala,,Masina de oras,5,Gri,,Olanda,25.02.2011,Da,Da,Second hand,Fata,Metalizata,Da,Da,Da,,II [2007 - 2014],,,,,,12 luni,,,,,,,,,,,,,
20,79 998,Firma,Autoturisme,,Audi,A8,L 50 TDI quattro tiptronic,2019,63 000 km,Diesel,286 CP,2 967 cm3,,Automata,"8,60 l/100km",Sedan,4,Negru,5,Germania,13.08.2019,Da,Da,Second hand,4x4 (automat),Metalizata,Da,Da,,,,Da,,07.08.2024,100 000 km,,,,,,,,,,,,,,,
21,18 990,Proprietar,Autoturisme,Da,Peugeot,508,BlueHDi 130 EAT8,2019,172 800 km,Diesel,130 CP,1 499 cm3,Euro 6,Automata,"4,20 l/100km",Sedan,5,Negru,5,Franta,11.06.2019,,,Second hand,Fata,Metalizata,,,,,II [2018 - Prezent],Da,102 g/km,,,,,,,,,,,,,,,,,
22,25 900,Proprietar,Autoturisme,,Volkswagen,Tiguan,2.0 TDI DSG 4Mot,2019,131 001 km,Diesel,190 CP,1 968 cm3,Euro 6,Automata,"6,50 l/100km",SUV,5,Rosu,5,Germania,,Da,Da,Second hand,4x4 (automat),Metalizata,,,Da,,II [2016 - Prezent],Da,,,,,,,,,,,,,,,,,,
23,43 000,Proprietar,Autoturisme,Da,Mercedes-Benz,SLK,,2015,45 000 km,Diesel,204 CP,2 143 cm3,,Automata,,Cabrio,2,Rosu,2,Romania,03.08.2015,Da,Da,Second hand,,,,Da,Da,,,,,,,Da,,,,,,,,,,,,,,
24,43 900,Firma,Autoturisme,,Land Rover,Discovery,3.0 L TD6,2017,93 092 km,Diesel,258 CP,2 993 cm3,Euro 6,Automata,"8,30 l/100km",SUV,5,Negru,,Anglia,,Da,Da,Second hand,4x4 (automat),Metalizata,Da,,Da,,,,,,,Da,,,,,,,,,,,,,,
25,39 989,Firma,Autoturisme,,Cupra,Formentor,,2020,3 923 km,Benzina,310 CP,1 984 cm3,Euro 6,Automata,,SUV,5,Gri,,Germania,01.11.2020,Da,Da,Second hand,4x4 (automat),Metalizata,Da,Da,Da,,,,175 g/km,01.11.2022,100 000 km,,12 luni,,,,,,,,,,,,,
26,18 900,Firma,Autoturisme,Da,Skoda,Octavia,,2017,171 989 km,Diesel,183 CP,1 968 cm3,,Automata,"5,80 l/100km",Combi,5,Gri,,,22.09.2017,,,Second hand,4x4 (automat),,Da,Da,,,,,,,,Da,,,,,,,,,,,,,,
27,50 000,Proprietar,Autoturisme,,BMW,X6 M,,2018,80 000 km,Diesel,381 CP,2 993 cm3,Euro 6,Automata,"7,20 l/100km",SUV,5,Negru,,Romania,20.03.2018,,,Second hand,4x4 (automat),Metalizata,,,,,F86 [2015 - 2018],Da,,,,,,,,,,,,,,,,,,
28,17 000,Proprietar,Autoturisme,Da,Mini,Countryman,Cooper S All4 Aut.,2013,65 000 km,Benzina,184 CP,1 598 cm3,Euro 5,Automata,"10,30 l/100km",Compacta,5,Maro,5,Romania,,,Da,Second hand,4x4 (automat),Metalizata,,,,,,,,,,Da,,,,,,,,,,,,,,
29,4 950,Proprietar,Autoturisme,,Volkswagen,Golf Plus,1.2 TSI BMT,2011,79 883 km,Benzina,105 CP,1 197 cm3,Euro 5,Manuala,"7,20 l/100km",Compacta,5,Gri,,,,Da,Da,Second hand,Fata,Metalizata,,,Da,,,,,,,,,,,,,,,,,,,,,
30,27 000,Proprietar,Autoturisme,Da,Mercedes-Benz,R,320 CDI L 4Matic 7G-TRONIC,2005,220 000 km,Diesel,224 CP,2 987 cm3,,Automata,"12,20 l/100km",Monovolum,5,Gri,6,Germania,09.10.2007,,Da,Second hand,4x4 (automat),,,,,,,Da,,,,Da,,,,,,,,,,,,,,
31,8 950,Proprietar,Autoturisme,Da,Mitsubishi,ASX,1.8 DI-D 4WD,2013,185 000 km,Diesel,150 CP,1 798 cm3,Euro 5,Manuala,"6,80 l/100km",SUV,5,Alb,,Belgia,,,Da,Second hand,4x4 (manual),Metalizata,,,Da,,,Da,,,,,,,,,,,,,,,,,,
32,19 399,Firma,Autoturisme,,Ford,Focus,1.0 EcoBoost,2018,22 300 km,Benzina,125 CP,999 cm3,,Manuala,"5,90 l/100km",Sedan,4,Maro,5,,,,,Second hand,,Metalizata,Da,Da,,,MK4 [2018 - Prezent],,,01.07.2023,150 000 km,,,,,,,,,,,,,,,
33,26 801,Firma,Autoturisme,,Ford,Fiesta,1.0 EcoBoost S&S Aut.,2022,1 042 km,Benzina,125 CP,998 cm3,Euro 6,Automata,"5,80 l/100km",Masina de oras,5,Alte culori,5,Romania,28.07.2022,Da,Da,Second hand,Fata,Metalizata,Da,Da,Da,,VIII [2017 - Prezent],Da,,,100 000 km,Da,,,,,,,,,,,,,,
34,43 000,Proprietar,Autoturisme,Da,Hyundai,Tucson,,2022,1 700 km,Hibrid,230 CP,1 598 cm3,Euro 6,Automata,"4,80 l/100km",SUV,5,Gri,5,Romania,,Da,Da,Second hand,4x4 (automat),,,,Da,,III [2020 - Prezent],,,27.06.2027,,Da,,,,,,,,,,,,,,
35,20 400,Proprietar,Autoturisme,Da,Toyota,C-HR,1.8 HSD 4x2 CVT,2018,142 865 km,Hibrid,98 CP,1 798 cm3,,Automata,"3,40 l/100km",SUV,5,Gri,,Romania,28.02.2018,Da,Da,Second hand,Fata,,,Da,Da,,,,86 g/km,28.01.2024,200 000 km,Da,,,4 l/100km,,,,,,,,,,,
36,17 988,Firma,Autoturisme,Da,Skoda,Octavia,Combi 2.0 TDI,2020,88 000 km,Diesel,150 CP,1 968 cm3,Euro 6,Manuala,"5,20 l/100km",Combi,5,Alb,5,Germania,,,Da,Second hand,Fata,,,,,,,Da,,,,,6 luni,,,,,,,,,,,,,
37,15 786,Proprietar,Autoturisme,Da,BMW,Seria 4,420d Gran Coupe Sport-Aut.,2014,230 000 km,Diesel,184 CP,1 995 cm3,Euro 6,Automata,"5,40 l/100km",Sedan,5,Alb,5,,,Da,,Second hand,Spate,,,,,,,Da,121 g/km,,,Da,,,,,,,,,,,,,,
38,9 990,Firma,Autoturisme,Da,Nissan,Qashqai,1.6 DCi 4 x 4 DPF Start/Stop,2012,200 000 km,Diesel,130 CP,1 598 cm3,Euro 5,Manuala,"6,10 l/100km",SUV,5,Negru,,Belgia,20.03.2012,Da,Da,Second hand,4x4 (automat),Perlat,Da,Da,Da,,I [2007 - 2014],Da,100 g/km,,10 000 km,Da,12 luni,,,,,,,,,,,,,
39,23 100,Proprietar,Autoturisme,Da,BMW,X4,xDrive20d Aut.,2017,211 556 km,Diesel,190 CP,1 995 cm3,Euro 6,Automata,"5,60 l/100km",SUV,5,Negru,,Germania,,,,Second hand,4x4 (automat),Metalizata,,,,,F26 [2014 - 2018],Da,,,,,,,,,,,,,,,,,,
40,13 900,Firma,Autoturisme,Da,Skoda,Octavia,Combi 2.0 TDI,2018,167 444 km,Diesel,150 CP,1 968 cm3,Euro 6,Manuala,"5,20 l/100km",Combi,5,Gri,5,Romania,08.05.2018,,Da,Second hand,Fata,Metalizata,Da,Da,Da,,,,,,,Da,12 luni,,,,,,,,,,,,,
41,4 000,Proprietar,Autoturisme,Da,Volkswagen,Passat,2.0TDI,2007,215 000 km,Diesel,140 CP,1 968 cm3,Euro 4,Manuala,"7,80 l/100km",Sedan,4,Gri,5,Romania,08.11.2007,Da,Da,Second hand,Fata,Metalizata,,,,,B6 [2005 - 2010],,,,,Da,,,,,,,,,,,,,,
42,30 390,Firma,Autoturisme,,Volkswagen,ARTEON,2.0 TSI DSG,2020,56 852 km,Benzina,190 CP,1 984 cm3,,Automata,"7,90 l/100km",Sedan,5,Alb,,,04.01.2020,,Da,Second hand,Fata,,Da,Da,,Da,,,,,,,12 luni,,,,,,,,,,,,,
43,20 490,Firma,Autoturisme,,Seat,Ateca,2.0 TDI Start&Stop 4Drive DSG7,2017,177 142 km,Diesel,190 CP,1 968 cm3,,Automata,6 l/100km,SUV,5,Negru,,,24.01.2017,,,Second hand,4x4 (automat),,Da,Da,,Da,,,,,,,,,,,,,,,,,,,,
44,29 990,Firma,Autoturisme,,Volvo,XC 60,D4 VEA Start-Stop,2017,130 109 km,Diesel,181 CP,1 969 cm3,,Automata,"5,80 l/100km",SUV,5,Gri,,,20.10.2017,,Da,Second hand,4x4 (automat),,Da,Da,,Da,II [2017 - Prezent],Da,,,,,12 luni,,,,,,,,,,,,,
45,30 880,Firma,Autoturisme,,Volkswagen,ARTEON,2.0 TSI DSG,2020,44 508 km,Benzina,190 CP,1 984 cm3,Euro 6,Automata,"7,80 l/100km",Sedan,5,Gri,5,Germania,07.01.2020,,Da,Second hand,Fata,Metalizata,Da,Da,Da,,,,,,,,12 luni,,,,,,,,,,,,,
46,4 350,Proprietar,Autoturisme,Da,Dacia,Logan,,2011,210 000 km,Diesel,68 CP,1 461 cm3,,Manuala,,Combi,5,Negru,7,,,,,Second hand,,Metalizata,,Da,,,I [2004 - 2012],,,,,,,,,,,,,,,,,,,
47,103 834,Firma,Autoturisme,Da,Porsche,Cayenne,,2022,14 700 km,Benzina,340 CP,2 995 cm3,,Automata,,SUV,4,Negru,,,,Da,,Second hand,,,,,,,,,,,,,,,,,,,,,,,,,,
48,29 990,Firma,Autoturisme,,Volvo,XC 60,D4 VEA Start-Stop,2017,132 457 km,Diesel,181 CP,1 969 cm3,,Automata,"5,80 l/100km",SUV,5,Gri,,,20.10.2017,,Da,Second hand,4x4 (automat),,Da,Da,,Da,II [2017 - Prezent],Da,,,,,12 luni,,,,,,,,,,,,,
49,14 800,Proprietar,Autoturisme,,BMW,Seria 2,216d Gran Tourer,2017,110 000 km,Diesel,116 CP,1 496 cm3,Euro 6,Manuala,"4,50 l/100km",Monovolum,5,Gri,7,,,,,Second hand,Fata,,,,,,,Da,,,,Da,,,,,,,,,,,,,,
50,4 700,Proprietar,Autoturisme,Da,Hyundai,Tucson,,2006,106 000 km,Benzina,140 CP,1 975 cm3,Euro 4,Manuala,,SUV,4,Gri,,Coreea de Sud,18.07.2006,Da,Da,Second hand,4x4 (manual),Metalizata,,,Da,,,Da,,,,Da,,,,,,,,,,,,,,
51,6 190,Firma,Autoturisme,,Renault,Megane,1.5 dCi,2012,225 000 km,Diesel,110 CP,1 461 cm3,,Manuala,"5,60 l/100km",Combi,5,Gri,5,,,,,Second hand,,,Da,Da,,,III [2008 - 2016],,,,,,,,,,,,,,,,,,,
52,5 200,Proprietar,Autoturisme,Da,Opel,Zafira,1.7 CDTI,2012,137 310 km,Diesel,125 CP,1 686 cm3,,Manuala,"6,10 l/100km",Monovolum,5,Negru,5,,,,,Second hand,,Metalizata,,,,,C [2011 - Prezent,,,,,,,,,,,,,,,,,,,
53,28 000,Proprietar,Autoturisme,Da,Mercedes-Benz,C,220 d Coupe 9G-TRONIC,2016,191 000 km,Diesel,170 CP,2 143 cm3,Euro 6,Automata,5 l/100km,Coupe,2,Gri,4,Belgia,09.06.2016,Da,Da,Second hand,Spate,Mat,,,,,W205 [2014 - 2021],Da,,,,Da,,,,Da,,,,,,,,,,
54,8 999,Firma,Autoturisme,Da,Dacia,Dokker,,2016,136 000 km,Benzina,105 CP,1 598 cm3,Euro 6,Manuala,,Monovolum,4,Albastru,5,Germania,22.03.2016,Da,Da,Second hand,Fata,,Da,Da,,,,,140 g/km,,30 000 km,,6 luni,,,,,,,,,,,,,
